,Unnamed: 0,KEMENTERIAN/LEMBAGA,SUMBER DANA,PROGRAM,FUNGSI,OUTPUT (KRO),JENIS BELANJA,AKUN 4 DIGIT,REALISASI BELANJA KL (KRO),Nilai,PAGU DIPA REVISI,BLOKIR DIPA REVISI,PAGU DIPA AWAL,BLOKIR DIPA AWAL,Tahun
47078,47078,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5781 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,1894620000.0,1894620000.0,1894620000.0,0.0,1894620000.0,0.0,2022
47079,47079,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5781 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,4603804500.0,4603804500.0,4628418000.0,0.0,4018925000.0,0.0,2022
47080,47080,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5781 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,3338564070.0,3338564070.0,3349800000.0,0.0,3816400000.0,0.0,2022
47081,47081,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5781 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1167175280.0,1189474000.0,1196995000.0,0.0,1158945000.0,0.0,2022
47082,47082,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5782 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,952168000.0,952168000.0,954464000.0,0.0,1010464000.0,0.0,2022
47083,47083,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5782 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,705801600.0,706439100.0,724372000.0,0.0,665475000.0,0.0,2022
47084,47084,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5782 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,47000000.0,47000000.0,53300000.0,0.0,165900000.0,0.0,2022
47085,47085,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5782 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1123749256.0,1184623260.0,1197858000.0,0.0,1203885000.0,0.0,2022
47086,47086,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5783 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,189462000.0,189462000.0,189462000.0,0.0,315770000.0,0.0,2022
47087,47087,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5783 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,1117510000.0,1117510000.0,1136326000.0,0.0,953814000.0,0.0,2022
47088,47088,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5783 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,573946250.0,573946250.0,573947000.0,0.0,836998000.0,0.0,2022
47089,47089,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5783 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1672150798.0,1814673692.0,1814947000.0,0.0,1641066000.0,0.0,2022
47090,47090,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5783 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5242 Belanja Perjalanan Dinas Luar Negeri,917808110.0,933447423.0,933449000.0,0.0,1041385000.0,0.0,2022
47091,47091,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5784 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,4760659450.0,4760659450.0,4948678000.0,0.0,4994678000.0,0.0,2022
47092,47092,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5784 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,3598488488.0,3599438488.0,3687498000.0,0.0,3517866000.0,0.0,2022
47093,47093,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5784 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,585133820.0,585133820.0,594774000.0,0.0,561300000.0,0.0,2022
47094,47094,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5784 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1956365725.0,2096186838.0,2271785000.0,0.0,2072567000.0,0.0,2022
47095,47095,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5784 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5242 Belanja Perjalanan Dinas Luar Negeri,,0.0,,,1156110000.0,0.0,2022
47096,47096,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,72370952332.0,72370952332.0,72731686000.0,0.0,55931233000.0,0.0,2022
47097,47097,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,10309159952.0,10309159952.0,10513259000.0,0.0,10149232000.0,0.0,2022
47098,47098,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,33804030648.0,33810287648.0,34182915000.0,0.0,55276681000.0,0.0,2022
47099,47099,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5231 Belanja Pemeliharaan,3086825902.0,3086825902.0,3092000000.0,0.0,3120000000.0,0.0,2022
47100,47100,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,5775775363.0,6374611085.0,6691711000.0,0.0,6995694000.0,0.0,2022
